work_ID,work_species,work_author,trait_value_3.3.1,trait_value_3.3.2,trait_value_3.6.1,trait_value_3.6.2,trait_value_3.6.3,agreement_3.3.1,agreement_3.3.2,agreement_3.6.1,agreement_3.6.2,agreement_3.6.3,n_3.3.1,n_3.3.2,n_3.6.1,n_3.6.2,n_3.6.3,references_3.3.1,references_3.3.2,references_3.6.1,references_3.6.2,references_3.6.3
59,Abrus precatorius,L.,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,025,510,599",NA,NA,NA,NA
72,Abutilon grandifolium,(Willd.) Sweet,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
74,Abutilon hirtum,(Lam.) Sweet,zoochorous,epizoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10175,10175,NA,NA,NA
97,Abutilon theophrasti,Medik.,unspecialized,anthropochorous,biotic,insect,insect,1,1,1,1,1,3,3,2,2,1,"102,471,019,110,313","102,471,019,110,313","1,024,710,315","1,024,710,315",10315
98,Abutilon trisulcatum,(Jacq.) Urb.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
103,Acacia aneura,F.Muell. ex Benth.,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10255,NA,10199,10199,NA
105,Acacia aulacocarpa,A.Cunn. ex Benth.,hydrochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10255,NA,10199,10199,NA
130,Acacia cyclops,A.Cunn. ex G.Don,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
133,Acacia decurrens,(J.C.Wendl.) Willd.,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
138,Acacia elata,A.Cunn. ex Benth.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
143,Acacia genistifolia,Link,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
165,Acacia ligulata,A.Cunn. ex Benth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
169,Acacia maidenii,F.Muell.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
174,Acacia melanoxylon,R.Br.,zoochorous,NA,biotic,insect,bee,0.667,NA,1,1,1,3,NA,2,2,1,"1,024,710,255",NA,"1,019,910,247","1,019,910,247",10199
177,Acacia myrtifolia,(Sm.) Willd.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
180,Acacia oswaldii,F.Muell.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
184,Acacia parramattensis,Tindale,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
196,Acacia pycnantha,Benth.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
205,Acacia saligna,(Labill.) H.L.Wendl.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
209,Acacia simplex,(Sparrm.) Pedley,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10599,NA,NA,NA,NA
218,Acacia suaveolens,(Sm.) Willd.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
221,Acacia terminalis,(Salisb.) J.F.Macbr.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
225,Acacia ulicifolia,(Salisb.) Court,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
228,Acacia verticillata,(L'Hér.) Willd.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
233,Acaena agnipila,Gand.,zoochorous,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10255,10328,10328,10328,NA
239,Acaena dumicola,B.H.Macmill.,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
240,Acaena echinata,Nees,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
245,Acaena inermis,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
246,Acaena juvenca,B.H.Macmill.,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
248,Acaena magellanica,(Lam.) Vahl,zoochorous,zoochorous,NA,NA,NA,0.75,1,NA,NA,NA,2,1,NA,NA,NA,"1,019,110,322",10191,NA,NA,NA
250,Acaena microphylla,Hook.f.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
253,Acaena novae-zelandiae,Kirk,zoochorous,unspecialized,NA,NA,NA,0.75,1,NA,NA,NA,2,1,NA,NA,NA,"1,025,510,322",10328,NA,NA,NA
255,Acaena ovina,A.Cunn.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
296,Acalypha hispida,Burm.f.,autochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10175,NA,NA,NA,NA
338,Acalypha villosa,Jacq.,autochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10259,NA,NA,NA,NA
341,Acalypha virginica,L.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
349,Acanthephippium splendidum,J.J.Sm.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
374,Acer campestre,L.,anemochorous,anemochorous,NA,NA,NA,1,0.75,NA,NA,NA,2,3,NA,NA,NA,"1,025,510,291","102,911,031,310,191",NA,NA,NA
376,Acer cappadocicum,Gled.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
384,Acer laurinum,Hassk.,anemochorous,NA,biotic,insect,bee,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
386,Acer macrophyllum,Pursh,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
388,Acer negundo,L.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,0.75,NA,3,3,1,2,NA,"101,921,024,710,255","102,471,031,310,328",10247,"1,024,710,313",NA
391,Acer opalus,Mill.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10291,10291,NA,NA,NA
392,Acer palmatum,Thunb.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,NA,"1,025,510,328",10328,NA,NA,NA
394,Acer platanoides,L.,anemochorous,anemochorous,NA,NA,NA,1,0.667,NA,NA,NA,1,2,NA,NA,NA,10255,"1,031,310,191",NA,NA,NA
395,Acer pseudoplatanus,L.,anemochorous,anemochorous,biotic,insect,NA,1,0.812,1,0.833,NA,2,4,2,3,NA,"1,024,710,255","10,247,103,131,032,800,000","1,024,710,328","102,471,032,810,313",NA
396,Acer rubrum,L.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
398,Acer saccharinum,L.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,NA,"101,921,019,110,255",10191,NA,NA,NA
403,Acer spicatum,Lam.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,210,255",NA,NA,NA,NA
409,Achillea alpina,L.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10242,10242,NA,NA,NA
421,Achillea salicifolia,Besser ex DC.,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,2,NA,1,1,NA,"1,019,110,313",NA,10313,10313,NA
425,Achimenes longiflora,DC.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
430,Achyranthes aspera,L.,zoochorous,NA,biotic,insect,NA,0.667,NA,1,1,NA,3,NA,1,1,NA,"1,025,510,599",NA,10247,10247,NA
529,Aciphylla pinnatifida,Petrie,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
550,Acmella caulirhiza,Delile,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10175,10175,NA,NA,NA
562,Acmispon maritimus,(Nutt.) D.D.Sokoloff,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
574,Aconitum napellus,L.,autochorous,autochorous,biotic,insect,NA,1,1,1,1,NA,1,1,2,2,NA,10313,10313,"1,031,310,328","1,031,310,328",NA
581,Acourtia microcephala,DC.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
594,Acrocomia aculeata,(Jacq.) Lodd. ex R.Keith,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,2,NA,1,1,1,"1,025,910,255",NA,10199,10199,10199
600,Acronychia pedunculata,(L.) Miq.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
633,Acrostichum aureum,L.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,3,3,NA,NA,NA,"2,721,034,910,599","2,721,034,910,599",NA,NA,NA
642,Acrothamnus colensoi,(Hook.f.) Quinn,zoochorous,endozoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
660,Actaea rubra,(Aiton) Willd.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10197,NA,NA,NA,NA
662,Actaea spicata,L.,zoochorous,NA,biotic,insect,NA,1,NA,1,1,NA,2,NA,2,1,NA,"1,019,710,255",NA,"1,031,310,315",10313,NA
692,Actinokentia divaricata,(Brongn.) Dammer,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
700,Actinostachys melanesica,(Selling) C.F.Reed,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
717,Adelobotrys adscendens,Triana,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
721,Adenanthera pavonina,L.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
724,Adenaria floribunda,Kunth,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
729,Adenium obesum,(Forssk.) Roem. & Schult.,anemochorous,anemochorous,biotic,insect,insect,1,1,1,1,1,1,1,1,1,1,10175,10175,10199,10199,10199
769,Adenostemma lavenia,(L.) Kuntze,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10349,NA,NA,NA,NA
775,Adenostoma fasciculatum,Hook. & Arn.,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
791,Adiantum capillus-veneris,L.,anemochorous,anemochorous,abiotic,wind,wind,1,1,1,1,1,1,1,1,1,1,10349,10349,10315,10315,10315
800,Adiantum diaphanum,Blume,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
809,Adiantum hispidulum,Sw.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
866,Adonis aestivalis,L.,autochorous,autochorous,biotic,insect,fly,1,0.75,1,1,1,1,2,2,1,1,10313,"1,031,310,191","1,031,310,315",10313,10315
868,Adonis annua,L.,unspecialized,anthropochorous,biotic,insect,bee,1,1,1,1,1,1,1,1,1,1,10191,10191,10315,10315,10315
870,Adoxa moschatellina,L.,zoochorous,NA,biotic,insect,fly,1,NA,1,1,1,1,NA,2,1,1,10255,NA,"1,031,310,315",10313,10315
887,Aegiceras corniculatum,(L.) Blanco,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
892,Aegilops geniculata,Roth,unspecialized,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
915,Aegopodium podagraria,L.,autochorous,autochorous,biotic,insect,NA,1,0.667,1,1,NA,1,2,3,2,NA,10313,"1,031,310,191","103,131,031,510,328","1,031,310,328",NA
918,Aeluropus littoralis,(Gouan) Parl.,anemochorous,anemochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10242,10242,NA,NA,NA
938,Aeonium haworthii,Webb & Berthel.,unspecialized,unspecialized,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
965,Aerva javanica,(Burm.f.) Juss. ex Schult.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
973,Aeschynanthus albidus,(Blume) Steud.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1003,Aesculus indica,(Wall. ex Cambess.) Hook.,unspecialized,unspecialized,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10328,10328,NA,NA,NA
1005,Aetheorhiza bulbosa,(L.) Cass.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
1006,Aethionema saxatile,(L.) W.T.Aiton,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1007,Aethusa cynapium,L.,autochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,2,1,NA,10313,NA,"1,031,310,315",10313,NA
1009,Aframomum angustifolium,(Sonn.) K.Schum.,zoochorous,endozoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10175,10175,NA,NA,NA
1023,Aganope heptaphylla,(L.) Polhill,hydrochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1024,Aganope thyrsiflora,(Benth.) Polhill,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1048,Agathis macrophylla,(Lindl.) Mast.,anemochorous,NA,abiotic,wind,wind,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
1050,Agathis moorei,(Lindl.) Mast.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1052,Agathis robusta,(C.Moore ex F.Muell.) F.M.Bailey,anemochorous,NA,abiotic,wind,wind,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
1056,Agave americana,L.,unspecialized,NA,biotic,insect,NA,1,NA,1,1,NA,2,NA,2,1,NA,"1,024,710,328",NA,"1,019,910,247",10247,NA
1096,Agave sisalana,Perrine,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10175,10175,NA,NA,NA
1106,Agdestis clematidea,Moc. & Sessé ex DC.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1116,Ageratina adenophora,(Spreng.) R.M.King & H.Rob.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,2,2,2,2,NA,"1,024,710,328","1,024,710,328","1,024,710,328","1,024,710,328",NA
1127,Ageratina riparia,(Regel) R.M.King & H.Rob.,anemochorous,anemochorous,biotic,insect,insect,1,1,1,1,1,1,1,2,1,1,10328,10328,"1,019,910,328",10328,10199
1132,Ageratum littorale,A.Gray,zoochorous,epizoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,272,272,NA,NA,NA
1133,Ageratum maritimum,Kunth,zoochorous,epizoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,272,272,NA,NA,NA
1138,Aglaia elliptica,(C.DC.) Blume,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
1140,Aglaia heterotricha,A.C.Sm.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10349,NA,NA,NA,NA
1141,Aglaia lawii,(Wight) C.J.Saldanha,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10197,NA,10199,10199,10199
1155,Aglaia saltatorum,A.C.Sm.,zoochorous,zoochorous,biotic,insect,insect,1,0.667,1,1,1,1,2,1,1,1,10599,"1,059,910,349",10199,10199,10199
1182,Agoseris coronopifolia,(d'Urv.) K.L.Chambers,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10322,NA,NA,NA,NA
1184,Agoseris heterophylla,(Nutt.) Greene,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1185,Agrimonia eupatoria,L.,zoochorous,epizoochorous,biotic,insect,NA,1,0.667,1,1,NA,2,3,3,2,NA,"1,024,710,255","1,024,710,313","102,471,031,310,315","1,024,710,313",NA
1188,Agrimonia pilosa,Ledeb.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
1189,Agrimonia procera,Wallr.,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,2,1,1,10313,NA,"1,031,310,315",10313,10315
1190,Agrimonia repens,L.,zoochorous,zoochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
1210,Agrostis capillaris,L.,anemochorous,NA,abiotic,wind,wind,1,NA,1,1,1,1,NA,3,2,1,10291,NA,"103,131,031,510,328","1,031,310,328",10315
1212,Agrostis castellana,Boiss. & Reut.,hydrochorous,NA,abiotic,wind,NA,1,NA,1,1,NA,1,NA,3,3,NA,10247,NA,"102,471,031,310,328","102,471,031,310,328",NA
1214,Agrostis congestiflora,Tutin & E.F.Warb.,hydrochorous,hydrochorous,abiotic,wind,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
1218,Agrostis dyeri,Petrie,unspecialized,unspecialized,abiotic,wind,NA,1,1,1,1,NA,1,1,1,1,NA,10328,10328,10328,10328,NA
1223,Agrostis gracililaxa,Franco,hydrochorous,hydrochorous,abiotic,wind,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
1237,Agrostis mertensii,Trin.,hydrochorous,hydrochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10191,10191,NA,NA,NA
1253,Agrostis reuteri,Boiss.,hydrochorous,hydrochorous,abiotic,wind,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
1258,Agrostis scabra,Willd.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1294,Aichryson villosum,(Aiton) Webb & Berthel.,anemochorous,anemochorous,biotic,insect,NA,1,1,1,1,NA,1,1,1,1,NA,10247,10247,10247,10247,NA
1297,Aidia cochinchinensis,Lour.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10349,NA,NA,NA,NA
1303,Aidia racemosa,(Cav.) Tirveng.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,"1,019,710,349",NA,NA,NA,NA
1307,Ailanthus altissima,(Mill.) Swingle,anemochorous,anemochorous,biotic,insect,insect,1,1,1,1,1,2,3,3,2,1,"1,024,710,255","102,471,031,310,328","102,471,031,310,315","1,024,710,313",10315
1309,Ailanthus integrifolia,Lam.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1310,Ailanthus triphysa,(Dennst.) Alston,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1321,Aiphanes horrida,(Jacq.) Burret,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1323,Aira caryophyllea,L.,anemochorous,NA,abiotic,wind,wind,0.667,NA,1,1,1,3,NA,3,3,1,"1,024,710,291",NA,"102,471,031,310,315","102,471,031,310,315",10315
1324,Aira cupaniana,Guss.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1338,Ajuga chamaepitys,(L.) Schreb.,autochorous,autochorous,biotic,insect,bee,1,0.778,1,1,1,2,3,2,1,1,"1,029,110,313","102,911,031,310,191","1,031,310,315",10313,10315
1346,Ajuga pyramidalis,L.,autochorous,autochorous,biotic,insect,NA,1,0.75,1,1,NA,1,2,1,1,NA,10313,"1,031,310,191",10313,10313,NA
1347,Ajuga reptans,L.,autochorous,autochorous,biotic,insect,NA,1,0.75,1,1,NA,1,2,3,2,NA,10313,"1,031,310,191","103,131,031,510,328","1,031,310,328",NA
1356,Alangium chinense,(Lour.) Harms,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
1379,Albizia julibrissin,Durazz.,anemochorous,NA,biotic,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,10255,NA,10199,NA,NA
1384,Albizia odoratissima,(L.f.) Benth.,anemochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
1385,Albizia pedicellata,Baker ex Benth.,anemochorous,NA,biotic,insect,NA,1,NA,1,1,NA,1,NA,1,1,NA,10255,NA,10199,10199,NA
1398,Alchemilla alpina,L.,anemochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1410,Alchemilla mollis,(Buser) Rothm.,unspecialized,anthropochorous,NA,other,other,1,1,NA,1,1,1,1,NA,1,1,10191,10191,NA,10315,10315
1417,Alchemilla xanthochlora,Rothm.,hydrochorous,hydrochorous,NA,other,other,1,1,NA,1,1,1,1,NA,1,1,10191,10191,NA,10315,10315
1419,Alchornea cordifolia,(Schumach. & Thonn.) Müll.Arg.,autochorous,autochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10175,10175,NA,NA,NA
1421,Alchornea latifolia,Sw.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1429,Alchorneopsis floribunda,(Benth.) Müll.Arg.,zoochorous,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,10255,NA,NA,NA,NA
1449,Alisma gramineum,Lej.,hydrochorous,hydrochorous,biotic,insect,insect,1,0.75,1,1,1,1,2,2,1,1,10191,"1,019,110,313","1,031,310,315",10313,10315
1450,Alisma lanceolatum,With.,hydrochorous,hydrochorous,biotic,insect,fly,1,0.75,1,1,1,2,4,4,3,1,"1,024,710,191","10,247,101,911,031,300,000","10,247,103,131,031,500,000","102,471,031,310,328",10315
1452,Alisma plantago-aquatica,L.,hydrochorous,NA,biotic,insect,fly,1,NA,1,1,1,1,NA,3,2,1,10255,NA,"103,131,031,510,328","1,031,310,328",10315
1459,Allagoptera arenaria,(Gomes) Kuntze,zoochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,1,1,1,10255,NA,10199,10199,10199
1463,Allamanda cathartica,L.,unspecialized,anthropochorous,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,10349,10349,NA,NA,NA
1514,Allium carinatum,L.,anemochorous,NA,biotic,insect,insect,1,NA,1,1,1,1,NA,2,2,1,10313,NA,"1,031,310,315","1,031,310,315",10315
