latin,myc
Celosia_argentea,AM
Glechoma_hederacea,AM
Helianthemum_nummularium,EM
Oxyria_digyna,NM
Phleum_phleoides,AM
Poa_trivialis,AM
Primula_algida,AM
Salix_alba,EM
Salix_herbacea,EM
Salix_phylicifolia,EM
Sambucus_nigra,AM
Sonchus_arvensis,AM
Vaccinium_oxycoccos,EM
Vitis_vinifera,AM
Acacia_mangium,AM
Acer_platanoides,AM
Ageratum_conyzoides,AM
Azadirachta_indica,AM
Brassica_oleracea,NM
Cedrus_deodara,EM
Chrysosplenium_alternifolium,NM
Cistus_salviifolius,EM
Dodonaea_viscosa,AM
Drosera_rotundifolia,NM
Equisetum_hyemale,NM
Eucalyptus_camaldulensis,AM
Lantana_camara,AM
Persicaria_alpina,NM
Polygonum_aviculare,AM
Populus_tremuloides,EM
Prosopis_juliflora,AM
Salix_cinerea,EM
Solanum_dulcamara,AM
Stellaria_graminea,NM
Suaeda_maritima,NM
Taraxacum_stevenii,AM
Typha_latifolia,AM
Veronica_officinalis,AM
Viola_palustris,AM
Albizia_lebbeck,AM
Amaranthus_spinosus,AM
Athyrium_filix-femina,AM
Capsella_bursa-pastoris,AM
Carex_flava,NM
Convallaria_majalis,AM
Equisetum_fluviatile,NM
Eriophorum_vaginatum,NM
Hymenaea_courbaril,AM
Juncus_effusus,AM
Koeleria_eriostachya,AM
Mangifera_indica,AM
Menyanthes_trifoliata,NM
Moneses_uniflora,EM
Pinus_ponderosa,EM
Polypodium_vulgare,NM
Portulaca_oleracea,AM
Sedum_acre,NM
Solidago_canadensis,AM
Tanacetum_vulgare,AM
Viola_tricolor,AM
Acer_campestre,AM
Actaea_spicata,AM
Amaranthus_viridis,AM
Anthonotha_fragrans,EM
Cakile_maritima,NM
Campanula_glomerata,AM
Carex_physodes,NM
Carex_rostrata,NM
Cassia_fistula,AM
Catharanthus_roseus,AM
Cistus_monspeliensis,EM
Daucus_carota,AM
Ficaria_verna,AM
Galium_odoratum,AM
Gentianella_caucasea,AM
Hierochloe_alpina,AM
Leucas_aspera,AM
Lolium_temulentum,AM
Lycopodium_annotinum,NM
Lycopodium_clavatum,NM
Ranunculus_auricomus,AM
Rubus_arcticus,AM
Scutellaria_galericulata,AM
Setaria_viridis,AM
Silene_acaulis,NM
Stellaria_media,AM
Stellaria_nemorum,NM
Viola_rupestris,AM
Vitex_negundo,AM
Adoxa_moschatellina,NM
Argemone_mexicana,AM
Artemisia_frigida,AM
Avicennia_marina,AM
Barleria_cristata,AM
Bellis_perennis,AM
Beta_vulgaris,AM
Betula_alleghaniensis,EM
Boerhavia_diffusa,AM
Bolboschoenus_maritimus,AM
Bombax_ceiba,AM
Calamagrostis_epigejos,AM
Calamagrostis_lapponica,NM
Carex_canescens,NM
Carex_nigra,NM
Cerastium_alpinum,NM
Cerastium_arvense,NM
Cinnamomum_camphora,AM
Convolvulus_arvensis,AM
Cornus_sanguinea,AM
Crepis_paludosa,AM
Cryptomeria_japonica,AM
Cystopteris_fragilis,AM
Eclipta_alba,AM
Epipactis_helleborine,ORC
Ginkgo_biloba,AM
Hypericum_tetrapterum,AM
Juglans_regia,AM
Limosella_,AM
Luzula_multiflora,NM
Lycopus_europaeus,AM
Oenothera_biennis,AM
Pinus_densiflora,EM
Platycladus_orientalis,AM
Puccinellia_distans,AM
Quercus_rubra,EM
Rosa_acicularis,AM
Rumex_acetosa,AM
Salix_aurita,EM
Salix_viminalis,EM
Secale_cereale,AM
Sesleria_albicans,AM
Silene_vulgaris,NM
Sonneratia_caseolaris,AM
Xanthium_strumarium,AM
Abutilon_indicum,AM
Alternanthera_sessilis,AM
Anaphalis_margaritacea,AM
Andrographis_paniculata,AM
Artemisia_maritima,AM
Artocarpus_heterophyllus,AM
Atriplex_portulacoides,NM
Blechnum_spicant,AM
Calamagrostis_obtusata,AM
Calamagrostis_stricta,AM
Cardamine_hirsuta,NM
Carex_lasiocarpa,NM
Carex_limosa,NM
Cirsium_vulgare,AM
Coccoloba_uvifera,EM
Corynephorus_canescens,NM
Costularia_arundinacea,AM
Cupressus_lusitanica,AM
Cypripedium_calceolus,ORC
Daphne_mezereum_,AM
Dryopteris_carthusiana,AM
Echinochloa_colona,AM
Eremopyrum_orientale,AM
Erica_tetralix,EM
Eryngium_maritimum,AM
Genista_tinctoria,AM
Gentiana_pyrenaica,AM
Grevillea_pteridifolia,NM
Justicia_adhatoda,AM
Lamium_galeobdolon,AM
Leptospermum_scoparium,EM
Linum_catharticum,AM
Lysimachia_nummularia,AM
Pedicularis_condensata,AM
Pedicularis_hirsuta,NM
Persea_americana,AM
Pinus_halepensis,EM
Polygonum_maritimum_,EM
Populus_deltoides,AM
Rhamnus_cathartica,AM
Rhizophora_mucronata,AM
Rosa_majalis,AM
Rubus_chamaemorus,NM
Salicornia_europaea,NM
Salix_pentandra,EM
Ulmus_pumila,AM
Afzelia_africana,EM
Alnus_nepalensis,EM
Alnus_rubra,EM
Ananas_comosus,AM
Anthyllis_vulneraria,AM
Arabis_alpina,NM
Arenaria_serpyllifolia,NM
Arrhenatherum_elatius,AM
Avicennia_officinalis,AM
Barbarea_vulgaris,NM
Bassia_prostrata,NM
Bruguiera_sexangula,AM
Cardamine_amara,AM
Cardamine_pratensis,NM
Carex_humilis,NM
Carex_panicea,AM
Cerastium_fontanum,AM
Chelidonium_majus,NM
Coccoloba,EM
Comarum_palustre,AM
Commelina_benghalensis,NM
Cyanthillium_cinereum,AM
Datura_stramonium,AM
Digitalis_purpurea,AM
Echinochloa_crus-galli,AM
Ephedra_distachya,AM
Epilobium_montanum,AM
Euphorbia_cyparissias,AM
Euphorbia_peplus,AM
Ficus_benghalensis,AM
Galium_aparine,AM
Gardenia_jasminoides,AM
Hemidesmus_indicus,AM
Hibiscus_rosa-sinensis,AM
Huperzia_selago,AM
Impatiens_parviflora,AM
Jacobaea_vulgaris,AM
Juncus_bufonius,NM
Kandelia_candel,AM
Lactuca_muralis,AM
Litchi_chinensis,AM
Luzula_campestris,NM
Luzula_spicata,NM
Malus_sylvestris,AM
Minuartia_aizoides,NM
Momordica_charantia,AM
Nerium_oleander,AM
Nonea_caspica,AM
Phyllanthus_amarus,AM
Poa_palustris,AM
Populus_balsamifera,EM
Prunus_serotina,AM
Pseudostellaria_sylvatica,AM
Rhinanthus_serotinus,NM
Salix_babylonica,AM
Salix_udensis,EM
Salsola_kali,NM
Saxifraga_paniculata,NM
Scirpoides_holoschoenus,NM
Scoparia_dulcis,AM
Scrophularia_nodosa,AM
Senecio_vulgaris,AM
Sporobolus_virginicus,AM
Stachys_macrantha,AM
Suaeda_vera,AM
Trifolium_ambiguum,AM
Trifolium_hybridum,AM
Tripleurospermum_caucasicum,AM
Tsuga_heterophylla,EM
Ulmus_minor,AM
Acacia_decurrens,AM
Acaena_,AM
Adiantum_capillus-veneris,AM
Aerva_javanica,AM
Aesculus_hippocastanum,AM
Alchemilla_caucasica,AM
Alisma_plantago-aquatica,AM
Aloe_vera,AM
Alopecurus_alpinus,AM
Araucaria_araucana,AM
Asplenium_trichomanes,AM
Astragalus_alpinus,NM
Bartsia_alpina,NM
Berberis_aquifolium,AM
Betula_ermanii,EM
Betula_papyrifera,EM
Blackstonia_perfoliata,AM
Briza_media_,AM
Bulbostylis_barbata,AM
Buxus_sempervirens,AM
Calamagrostis_purpurea,AM
Calendula_officinalis,AM
Calla_palustris,NM
Camellia_sinensis,AM
Campanula_collina,AM
Campanula_sibirica_subhohenackeri,AM
Cardamine_bulbifera,AM
Carex,NM
Ceratocephala_testiculata,AM
Chimaphila_umbellata,AM
Cichorium_intybus,AM
Clematis_orientalis,AM
Clematis_vitalba,AM
Coffea_arabica,AM
Colocasia_esculenta,AM
Corallorhiza_maculata,ORC
Corylus_heterophylla,EM
Corymbia_citriodora,AM
Croton_bonplandianus,AM
Cucumis_melo,AM
Cyperus_dubius,AM
Dactyloctenium_aegyptium,AM
Dianthus_chinensis,NM
Doryopteris_concolor,AM
Dysphania_ambrosioides,NM
Eleocharis,NM
Eleusine_indica,AM
Enterolobium_contortisiliquum,AM
Epipactis_palustris,ORC
Equisetum_palustre,NM
Equisetum_ramosissimum,NM
Erigeron_bonariensis,AM
Eriophorum_angustifolium,NM
Eucalyptus_regnans,EM
Eucalyptus_robusta,EM
Euonymus_verrucosus,AM
Evolvulus_alsinoides,AM
Ficus_hispida,AM
Galium_palustre_,NM
Geranium_molle,AM
Hydrilla_verticillata,AM
Ilex_aquifolium,AM
Impatiens_noli-tangere,NM
Iris_pseudacorus,NM
Isatis_tinctoria,NM
Juglans_mandshurica,AM
Julbernardia_seretii,EM
Juncus_gerardii,AM
Juncus_trifidus,NM
Juniperus_chinensis,AM
Lagerstroemia_speciosa,AM
Leptadenia_pyrotechnica,AM
Liquidambar_formosana,AM
Luzula_nivalis,NM
Lycopodiella_inundata,AM
Lysimachia_vulgaris_,AM
Medicago_minima,AM
Melastoma_malabathricum,AM
Mentha_arvensis,AM
Mentha_longifolia,AM
Myosotis_sylvatica,NM
Myrica_gale,AM
Nephrolepis_cordifolia,AM
Nonea_echioides,AM
Ocimum_tenuiflorum,AM
Pedicularis_oederi,NM
Peltophorum_dubium,NM
Persicaria_amphibia,AM
Persicaria_hydropiper,NM
Persicaria_nepalensis,AM
Phoenix_dactylifera,AM
Phyteuma_spicatum,AM
Pinguicula_vulgaris,NM
Pinus_caribaea,EM
Pinus_edulis,EM
Pinus_elliottii,EM
Pinus_patula,EM
Polemonium_caeruleum,AM
Polygala_vulgaris,AM
Polygonatum_multiflorum,AM
Populus_suaveolens,EM
Primula_amoena,AM
Prunus_padus,AM
Pulmonaria_officinalis,AM
Raphanus_raphanistrum_subsativus,NM
Rhizophora_apiculata,AM
Ribes_alpinum,AM
Rorippa_palustris,NM
Rosa_rugosa,AM
Rubus_pubescens,AM
Rumex_hastatus,AM
Salix_arbutifolia,EM
Sesuvium_portulacastrum,NM
Sida_cordata,AM
Solanum_torvum,AM
Sonchus_asper,AM
Sonneratia_apetala,AM
Tribulus_terrestris,AM
Trifolium_subterraneum,AM
Typha_angustifolia,AM
Uapaca_guineensis,EM
Uapaca_kirkiana,EM
Abies_firma,EM
Acacia_dealbata,AM
Acer_pictum,AM
Achillea_ptarmica,AM
Aconitum_nasutum,AM
Acorus_calamus,AM
Aira_caryophyllea,NM
Allophylus_cobbe,AM
Arctous_alpina,AM
Artemisia_campestris,AM
Artemisia_scoparia,AM
Artemisia_turanica,AM
Asplenium_viride_,NM
Athyrium_filix-femina_,AM
Bacopa_monnieri,AM
Betula_humilis,EM
Betula_occidentalis,EM
Bistorta_bistortoides,AM
Blechnum_orientale,AM
Botrychium_virginianum,AM
Bromus_erectus,AM
Campanula_glomerata_subcaucasica,AM
Canna_indica,AM
Carex_acuta,NM
Carex_brunnescens,NM
Carex_dioica,NM
Carex_flacca,NM
Carex_pauciflora,NM
Carex_pyrenaica,NM
Carex_vesicaria,AM
Castanopsis_indica,AM
Centaurea_pulchella,AM
Ceratopteris_thalictroides,NM
Cheilocostus_speciosus,AM
Chenopodium_murale,NM
Clinopodium_vulgare,AM
Colpodium_humile,NM
Commelina_communis,AM
Commelina_erecta,NM
Conium_maculatum,AM
Cornus_alba,AM
Corydalis_solida,AM
Crataegus_monogyna,AM
Crataegus_pinnatifida,AM
Cruciata_laevipes,AM
Cynoglossum_lanceolatum,AM
Cyperus,AM
Cyperus_articulatus,AM
Derris_trifoliata,AM
Deuterocohnia_longipetala,NM
Dianthus_superbus_subalpestris,NM
Diapensia_lapponica,EM
Didelotia_africana,EM
Diplotaxis_erucoides,AM
Draba_sibirica,NM
Drosera_anglica,NM
Echinops_ritro,AM
Eichhornia_crassipes,AM
Eleocharis_acuta,AM
Eleocharis_palustris,NM
Eremopyrum_bonaepartis,NM
Eriophorum_scheuchzeri,NM
Eucalyptus_gomphocephala,AM
Eucalyptus_marginata,AM
Eucalyptus_obliqua,EM
Eucalyptus_viminalis,EM
Euphorbia_paralias,AM
Gagea_serotina,AM
Genipa_americana,AM
Gentiana_verna_subpontica,AM
Geranium_ibericum,AM
Halosarcia_indica,NM
Hieracium_murorum,AM
Humulus_lupulus,AM
Impatiens_balsamina,AM
Juncus_articulatus,NM
Juncus_scheuchzerioides,AM
Juniperus_virginiana,AM
Kennedia_coccinea,NM
Kobresia_myosuroides,EM
Lactuca_racemosa,AM
Lawsonia_inermis,AM
Leymus_arenarius,AM
Leymus_lanatus,AM
Linaria_vulgaris,AM
Lonicera_tatarica,AM
Ludwigia_perennis,AM
Lychnis_,NM
Lycopodium_complanatum,NM
Lysimachia_thyrsiflora,AM
Melica_uniflora,NM
Mirbelia_dilatata,AM
Nelumbo_nucifera,NM
Papaver_rhoeas,NM
Pedicularis_dolichorrhiza,AM
Petasites_albus,AM
Phellodendron_amurense,AM
Phyllanthus_niruri,AM
Pinus_muricata,EM
Pinus_roxburghii,EM
Pinus_taiwanensis,EM
Piper_nigrum,AM
Poa_arctica,NM
Poa_bulbosa,AM
Poranthera_microphylla,EM
Potamogeton_crispus,NM
Primula_veris,AM
Prosopis_cineraria,AM
Prunus_pensylvanica,AM
Psydrax_dicoccos,AM
Puccinellia_maritima,AM
Quercus_glauca,EM
Raphanus_raphanistrum,NM
Rauvolfia_serpentina,AM
Rhinanthus_minor,AM
Rubia_peregrina,AM
Rubus_caesius,AM
Rumex_alpinus,AM
Rumex_crispus,AM
Sagittaria_latifolia,AM
Salix_acutifolia,EM
Saxifraga_oppositifolia,AM
Securigera_varia,AM
Sedum_pseudohybridum,NM
Setaria_verticillata,AM
Shorea_robusta,EM
Siegesbeckia_orientalis,AM
Spergula_arvensis,AM
Spergularia_marina,AM
Spinacia_oleracea,NM
Symphytum_officinale,AM
Tamarix_chinensis,AM
Tetraberlinia_bifoliolata,EM
Tristaniopsis_guillainii,AM
Uapaca_staudtii,EM
Valeriana_alpestris,AM
Veronica_anagallis-aquatica,NM
Veronica_beccabunga,NM
Vicia_sylvatica,AM
Viminaria_juncea,AM
Acacia_aneura,EM
Acacia_melanoxylon,EM
Acacia_plectocarpa,AM
Acacia_salicina,EM
Acaena_magellanica,AM
Adiantum_andicola,AM
Adiantum_pedatum,AM
Afzelia_bipindensis,EM
Agave_americana,AM
Alnus_serrulata,EM
Alocasia_macrorrhizos,AM
Alopecurus_aequalis,AM
Alternanthera_philoxeroides,NM
Amaranthus_caudatus,AM
Ammannia_baccifera,AM
Androsace_villosa_subkoso-poljanskii,AM
Aponogeton_natans,AM
Arabis_hirsuta,NM
Aspidosperma_polyneuron,NM
Asplenium_aethiopicum,AM
Asplenium_unilaterale,AM
Astragalus_monspessulanus,AM
Barringtonia_racemosa,AM
Bassia_scoparia,NM
Bidens_biternata,AM
Biophytum_sensitivum,AM
Biscutella_laevigata,AM
Bougainvillea_spectabilis,AM
Brachypodium_distachyon,AM
Brassica_juncea,AM
Brassica_napus,NM
Brassica_tournefortii,NM
Bruguiera_cylindrica,AM
Calamaria_coromandelina,AM
Calamovilfa_longifolia,AM
Calystegia_soldanella,AM
Cardamine_concatenata,NM
Cardamine_uliginosa,NM
Carex_bigelowii_subdacica,AM
Carex_hirta,NM
Carex_lachenalii,AM
Carex_muricata,NM
Carex_rupestris,NM
Carex_stricta,AM
Castanea_mollissima,AM
Castanopsis_hystrix,AM
Cenchrus_biflorus,AM
Chenopodium_foliosum,NM
Chondrilla_juncea,AM
Chrysopogon_zizanioides,AM
Cirsium_palustre,AM
Cistus_ladanifer,EM
Cladium_mariscus,AM
Cleome_viscosa,AM
Coccoloba_excelsa,AM
Conoclinium_coelestinum,AM
Cotoneaster_lucidus,AM
Crataegus_laevigata,AM
Crepis_foetida,AM
Curculigo_orchioides,AM
Cyperus_distans,NM
Cyperus_esculentus,NM
Deschampsia_antarctica,AM
Drynaria_quercifolia,NM
Echinochloa_crusgalli,AM
Eleocharis_geniculata,AM
Elodea_canadensis,NM
Elymus_farctus,NM
Epilobium_hirsutum,NM
Erigeron_uniflorus,AM
Eriocaulon_cinereum,AM
Erodium_cicutarium,AM
Erophila_verna,NM
Eruca_vesicaria,NM
Erythrophleum_chlorostachys,AM
Eschweilera_coriacea,AM
Eucalyptus,AM
Eucalyptus_cloeziana,AM
Eucalyptus_dives,EM
Eucalyptus_melliodora,EM
Eucalyptus_sideroxylon,EM
Eucalyptus_sieberi,EM
Euphorbia_helioscopia,AM
Euphorbia_prostrata,AM
Euphrasia_officinalis,NM
Euthamia_graminifolia,AM
Fagonia_cretica,AM
Festuca_brachyphylla,AM
Festuca_gigantea,AM
Festuca_vivipara,AM
Ficus_microcarpa,AM
Fimbristylis_consanguinea,AM
Fragaria_virginiana,AM
Galium_album,AM
Gilbertiodendron_dewevrei,EM
Gompholobium_venustum,AM
Gomphrena_globosa,NM
Grevillea_robusta,AM
Halimium_ocymoides,EM
Hesperis_matronalis,NM
Holcus_mollis,AM
Hopea_mengarawan,EM
Iberis_amara,NM
Indigofera_linifolia,AM
Ipomoea_aquatica,AM
Ipomoea_imperati,AM
Jasione_montana,AM
Jasminum_sambac,AM
Juncus_alpinoarticulatus,NM
Juncus_biglumis,NM
Juncus_filiformis,NM
Juniperus_scopulorum,AM
Koeleria_glauca,AM
Kyllinga_brevifolia,AM
Lachenalii_subsubcruentifolium,AM
Lamium_album,AM
Lappula_spinocarpos,NM
Lathyrus_gmelini,AM
Leersia_oryzoides,NM
Lepidium_didymum,NM
Lepidium_ruderale,NM
Lepidium_virginicum,NM
Leptorhynchos_squamatus,AM
Limbarda_crithmoides,AM
Lithocarpus_glaber,EM
Lobularia_maritima,AM
Lonchocarpus_muehlbergianus,AM
Luzula_capitata,AM
Luzula_sudetica,NM
Lycopodiella_cernua,AM
Maackia_amurensis,AM
Macrolobium_acaciifolium,AM
Marsilea_quadrifolia,NM
Melinis_repens,AM
Mentha_x_piperita,AM
Merremia_tridentata,AM
Mirabilis_jalapa,AM
Monochoria_vaginalis,AM
Montia_fontana,NM
Oenanthe_aquatica,NM
Oenothera_,AM
Olea_capensis,AM
Opuntia_sulphurea,AM
Ormosia_arborea,NM
Ottelia_alismoides,AM
Papaver_somniferum,NM
Pedalium_murex,AM
Pedicularis_capitata,NM
Pedicularis_crassirostris,NM
Pedicularis_groenlandica,AM
Peltophorum_pterocarpum,AM
Persicaria_maculosa,NM
Phegopteris_connectilis,AM
Phyllanthus_maderaspatensis,AM
Pimpinella_saxifraga_,AM
Pinus_oocarpa,EM
Pinus_palustris,EM
Pinus_silvestris,EM
Pinus_tabuliformis,EM
Pisonia_grandis,EM
Poa_cookii,AM
Podocarpus_macrophyllus,AM
Polygala_amarella,AM
Polygonatum_odoratum_,AM
Polygonatum_verticillatum,AM
Polygonatum_verticillatum_,AM
Polygonum_maritimum,AM
Polygonum_weyrichii,AM
Populus_deltoides_submonilifera,EM
Potamogeton_natans,NM
Potentilla_nivea,AM
Prunus_cerasifera,AM
Prunus_fruticosa,AM
Prunus_spinosa,AM
Prunus_ussuriensis,AM
Prunus_vulgaris,AM
Psathyrostachys_juncea,NM
Pyrus_ussuriensis,AM
Quercus_agrifolia,AM
Ranunculus_adoneus,AM
Reseda_luteola,NM
Reynoutria_japonica,NM
Rhus_typhina,AM
Rosa_multiflora,AM
Rotala_rotundifolia,AM
Rumex_alpinus_,NM
Salix_humboldtiana,AM
Salix_myrsinites,EM
Salix_nigra,AM
Salix_purpurea,EM
Sarcandra_glabra,AM
Saxifraga_aizoides,NM
Saxifraga_cernua,AM
Saxifraga_hirculus,NM
Schismus_arabicus,AM
Schleichera_oleosa,AM
Selaginella,AM
Selaginella_kraussiana,AM
Senecio_leucanthemifolius_subvernalis,AM
Shorea_assamica,AM
Silene_dioica,NM
Silene_nutans,NM
Sorbaria_sorbifolia,AM
Sorbus_aria,AM
Sparganium_erectum,NM
Spathoglottis_plicata,ORC
Stellaria_longipes,AM
Stellaria_palustris,AM
Sterculia_lanceolata,AM
Suaeda_monoica,NM
Tabernaemontana_,AM
Tagetes_minuta,AM
Tagetes_patula,AM
Thelypteris_thelypterioides,NM
Thymus_transcaucasicus,NM
Tofieldia_pusilla,AM
Trema_orientalis,AM
Trichophorum_cespitosum,NM
Trifolium_fragiferum,AM
Triglochin_maritima,NM
Ulmus_americana,AM
Vaccinium,AM
Valeriana_tiliifolia,AM
Vallisneria_natans,AM
Verbascum_nigrum,AM
Viola_arvensis,AM
Volkameria_inermis,AM
Weigela_hortensis,AM
Zeyheria_tuberculosa,NM
Acacia_myrtifolia,AM
Acacia_platycarpa,EM
Acacia_pycnantha,AM
Acalypha_fruticosa,AM
Acanthospermum_hispidum,AM
Acer_pseudosieboldianum,AM
Achyranthes_bidentata,NM
Adiantum_flabellulatum,AM
Aegilops_triuncialis,NM
Agriophyllum_squarrosum,NM
Agrostis_magellanica,NM
Alangium_chinense,AM
Alchemilla_retinervis,EM
Alisma_lanceolatum,NM
Allium_cernuum,AM
Allium_oleraceum_,AM
Allocasuarina_muelleriana,EM
Allocasuarina_verticillata,AM
Alnus_alnobetula_subsinuata,EM
Alocasia_macrorrhiza,AM
Alopecurus_dasyanthus,AM
Alopecurus_glacialis,AM
Alpinia_galanga,AM
Alyssum_montanum_subsp._gmelinii,NM
Amberboa_turanica,AM
Ammocalamagrostis_baltica,AM
Androsace_septentrionalis,AM
Anemone_pulsatilla,AM
Angianthus_tomentosus,EM
Antennaria_rosea,AM
Antiaris_toxicaria,NM
Antirrhinum_majus,AM
Aphananthe_aspera,AM
Apluda_mutica,AM
Arabidopsis_lyrata_subpetraea,AM
Arabidopsis_thaliana,NM
Aralia_elata,AM
Arctium_lappa,NM
Areca_catechu,AM
Arisaema_triphyllum,AM
Armeria_maritima_,AM
Armoracia_rusticana,NM
Arnebia_hispidissima,NM
Artemisia_maritima_,AM
Artocarpus_dadah,NM
Artocarpus_lacucha,AM
Asclepias_curassavica,AM
Asclepias_viridiflora,AM
Asperugo_procumbens,AM
Aspidosperma_parvifolium,AM
Asplenium_adiantum-nigrum,AM
Asplenium_platyneuron,AM
Asplenium_ruta-muraria,AM
Asplenium_septentrionale,NM
Asplenium_sulcatum,NM
Asplenium_zenkerianum,AM
Astragalus_danicus,AM
Astrantia_major,AM
Athyrium_alpestre,AM
Atriplex_halimus,NM
Atriplex_littoralis,NM
Atriplex_semibaccata,NM
Azolla_pinnata,NM
Bambusa_vulgaris,AM
Bassia_indica,AM
Batis_maritima,NM
Beckmannia_syzigachne,AM
Berula_erecta,NM
Betula_platyphylla,EM
Betula_schmidtii,EM
Bidens_tripartita_,AM
Bolboschoenus_fluviatilis,AM
Brachiaria_ramosa,AM
Braya_glabella,NM
Bromus_sterilis,AM
Bruguiera_gymnorhiza,AM
Buglossoides_arvensis,AM
Butomus_umbellatus,NM
Caesalpinia_pluviosa_var._peltophoroides,AM
Calamagrostis_canescens,AM
Callitriche_antarctica,AM
Callitriche_hamulata,AM
Calpocalyx_dinklagei,AM
Campanula_persicifolia,NM
Campanula_trachelium,AM
Canthium_horridum,AM
Caralluma_umbellata,AM
Cardamine_bellidifolia,AM
Cardamine_flexuosa,AM
Cardamine_impatiens,NM
Carex_aquatilis,AM
Carex_arenaria,AM
Carex_atherodes,AM
Carex_buxbaumii,NM
Carex_duriuscula,AM
Carex_fuliginosa,NM
Carex_hystericina,NM
Carex_setigera,NM
Carex_speciosa,AM
Carex_spicata,NM
Carex_sterilis,AM
Carex_viridula,NM
